Specimen No;genus;species;coloniality;growth form ;corallite integration;mean corallite diameter [mm];colony height [mm];colony width [mm];number of incisions;length of incisions [mm] top;length of incisions [mm] bottom;width of incisons [mm] top ;width of incisions [mm] bottom;distance to next incision [mm];incisions on top ;incisions on bottom;bioerosion;
KCo1-1;Dimorpharaea;stellans;colony;pedunculate;thamnasteroid;2.5;12.17;29.89;27;;;;;;12;15;3;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;0;11.17;0;2.16;5.93;0;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;0;5;0;1.55;5.95;0;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;0.85;5.53;1.86;1.93;5.57;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;1;0.87;5.24;1.27;2.1;6.89;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;0.51;4.88;1.85;1.12;7.49;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;3.67;6.54;1.87;2.42;2.13;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;3.34;11.82;1.73;3.26;5.39;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;1.74;4.67;2.18;1.85;6.38;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;2.35;6.45;1.98;2.2;6.52;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;1.42;2.18;1.57;2.14;6.31;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;3.01;8.84;1.38;3.32;3.83;1;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;2;0;3.89;0;1.91;4.35;0;1;;
KCo1-1;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.5;12.17;29.89;1;1.34;1.16;1.09;1.16;6.69;1;1;;
